hour,collisions,ksi,ksi_per_100
0,8020,2737,34.12718204488778
1,5756,1960,34.05142460041696
2,4167,1514,36.3330933525318
3,3524,1269,36.01021566401816
4,3213,1110,34.547152194211016
5,4930,1609,32.6369168356998
6,9965,2683,26.924234821876567
7,21393,4879,22.806525498994997
8,32935,6270,19.037498102322758
9,22988,4936,21.472072385592483
10,23036,5588,24.25768362562945
11,26609,6372,23.946784922394677
12,30191,7264,24.06015037593985
13,31417,7323,23.309036508896458
14,33291,8150,24.48109098555165
15,42034,10028,23.856877765618307
16,42573,10214,23.991731848824372
17,45142,10539,23.346329360684063
18,36751,8726,23.743571603493784
19,28295,7070,24.986746775048594
20,20849,5584,26.783059139527076
21,16960,4914,28.974056603773583
22,14852,4534,30.5278750336655
23,11193,3520,31.44822657017779
